Comparison,Metric,Model_1,Model_2,Model_1_mean,Model_2_mean,Delta,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Bootstrap_Std,Test_Type,n,Test_Statistic,P_Value,Significant_at_0.05,Significant_at_0.01,Significant_at_0.001,Effect_Size_Cohens_d,Interpretation
Descriptor_vs_Composition,R²,Descriptor-only XGBoost,Composition XGBoost,0.4327,0.2635,+0.1692,+0.131,+0.219,0.022,Paired t-test per seed (two-sided),5,t=119.67,2.92e-08,Yes,Yes,Yes,51.5,Chemistry features provide dominant predictive value (per-seed)
Descriptor_vs_Composition,R²,Descriptor-only XGBoost,Composition XGBoost,0.4327,0.2635,+0.1692,+0.131,+0.219,0.022,Wilcoxon signed-rank per observation (two-sided),1084,W=201138,2.05e-19,Yes,Yes,Yes,0.166,Chemistry features provide dominant predictive value (per-observation)
Descriptor_vs_Composition,R²,Descriptor-only XGBoost,Composition XGBoost,0.4327,0.2635,+0.1692,+0.131,+0.219,0.022,Paired t-test per observation (two-sided),1084,t=-5.454,6.11e-08,Yes,Yes,Yes,0.166,Chemistry features provide dominant predictive value (per-observation t)
Anchor_vs_Descriptor,R²,Anchor-aware descriptor XGBoost,Descriptor-only XGBoost,0.4717,0.4327,+0.0390,+0.008,+0.060,0.013,Welch t-test per seed (two-sided),n_anchor=3/n_desc=5,t=17.86,2.62e-06,Yes,Yes,Yes,11.9,Consistent run-level improvement (per-seed; low within-group variance)
Anchor_vs_Descriptor,R²,Anchor-aware descriptor XGBoost,Descriptor-only XGBoost,0.4717,0.4327,+0.0390,+0.008,+0.060,0.013,Wilcoxon signed-rank per observation (two-sided),1084,W=274172,0.054,No,No,No,0.047,Marginal improvement at individual-prediction level
Anchor_vs_Descriptor,R²,Anchor-aware descriptor XGBoost,Descriptor-only XGBoost,0.4717,0.4327,+0.0390,+0.008,+0.060,0.013,Paired t-test per observation (two-sided),1084,t=-1.549,0.122,No,No,No,0.047,Not significant at individual-prediction level (t-test)
Anchor_vs_Descriptor,MAE,Anchor-aware descriptor XGBoost,Descriptor-only XGBoost,0.506,0.524,-0.018,-0.030,-0.006,0.006,Wilcoxon signed-rank per observation (two-sided),1084,W=273063,0.042,Yes,No,No,0.052,Marginally significant MAE reduction
Anchor_vs_Descriptor,Spearman,Anchor-aware descriptor XGBoost,Descriptor-only XGBoost,0.733,0.718,+0.015,N/A,N/A,N/A,Not tested,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Minimal ranking improvement (not formally tested)
Anchor_vs_Descriptor_HarderSplit,R²,Anchor-aware descriptor XGBoost (70% split),Descriptor-only XGBoost (70% split),0.270,0.268,+0.002,N/A,N/A,N/A,Single seed (no variance available),1,N/A,N/A,N/A,N/A,N/A,N/A,Anchor gain collapses under sequence-cluster split
Perturbation_Trend,R²,Anchor-aware descriptor,Shift = 0 (correct),0.472,N/A,N/A,N/A,N/A,N/A,Spearman correlation (|shift| vs R²),9,rho=-0.915,0.0005,Yes,Yes,Yes,N/A,Monotonic degradation with shift distance is highly significant
